"blkgrp","blkgrps","population","households","land_acres","ht_ami","ht_80ami","ht_nmi","h_ami","h_80ami","h_nmi","t_ami","t_80ami","t_nmi","co2_per_hh_local","co2_per_acre_local","autos_per_hh_ami","autos_per_hh_80ami","autos_per_hh_nmi","vmt_per_hh_ami","vmt_per_hh_80ami","vmt_per_hh_nmi","pct_transit_commuters_ami","pct_transit_commuters_80ami","pct_transit_commuters_nmi","t_cost_ami","t_cost_80ami","t_cost_nmi","auto_ownership_cost_ami","auto_ownership_cost_80ami","auto_ownership_cost_nmi","vmt_cost_ami","vmt_cost_80ami","vmt_cost_nmi","transit_cost_ami","transit_cost_80ami","transit_cost_nmi","transit_trips_ami","transit_trips_80ami","transit_trips_nmi","compact_ndx","emp_ovrll_ndx","res_density","gross_hh_density","hh_gravity","frac_sfd","emp_gravity","emp_ndx","block_size","intersection_density","avg_block_perimeter_meters","h_cost","median_smoc","median_gross_rent","pct_owner_occupied_hu","pct_renter_occupied_hu"
"""360930208002""",1,792,362,57.29,37,43,42,20,24,23,18,19,19,7.01,44.27,1.45,1,1,16780,14626,17000,8,8,9,10961,9261,10498,8260,6898,7758,2593,2259,2626,108,103,114,105,101,111,8.5,8.9,9.09,6.32,22785,29,33459,88,5,324,619,1016,1327,811,40,60
"""360930216002""",1,795,264,62.15,46,53,52,25,31,29,21,22,24,9.2,39.08,1.74,2,2,19956,17430,20290,6,6,7,13085,11059,12666,9916,8287,9443,3084,2693,3135,85,80,88,83,78,86,4.1,8.5,6.66,4.25,22592,88,25144,88,4,348,530,1285,1285,NA,97,3
"""360930218004""",1,897,279,87.73,44,51,50,23,28,26,21,23,24,9.29,29.54,1.77,2,2,20412,17871,20768,6,6,7,13367,11352,12939,10126,8515,9638,3155,2761,3208,86,76,92,84,74,90,3.2,7.5,3.97,3.18,15142,93,16479,87,5,321,570,1171,1171,NA,100,0
"""360930214004""",1,895,330,58.75,33,38,37,16,20,18,17,18,19,6.96,39.1,1.43,1,1,16156,14147,16329,7,7,8,10753,9114,10262,8158,6835,7635,2497,2186,2523,98,94,105,96,92,102,8.8,8.4,6.66,5.62,20634,23,27268,88,5,338,505,825,1087,735,25,75
"""360930216001""",1,694,262,43.12,40,47,46,21,26,24,20,21,22,8.29,50.39,1.64,1,2,18626,16400,18869,3,3,4,12268,10377,11819,9346,7803,8856,2879,2534,2915,43,40,49,42,39,47,7,8.5,7.52,6.08,22527,62,25508,88,4,356,498,1071,1170,878,66,34
"""360930201022""",1,1858,731,160,35,40,40,16,20,19,19,20,21,7.06,32.26,1.53,1,2,18325,16228,18526,5,5,5,11662,9956,11158,8763,7386,8224,2832,2507,2862,67,63,72,65,62,70,7.9,8.2,5.58,4.57,14971,41,22454,88,8,176,730,845,1521,458,36,64
"""360830413004""",1,1790,162,83.79,45,53,51,26,33,30,19,20,20,6.34,12.25,1.51,1,1,17843,15617,18079,8,7,8,11533,9838,11045,8631,7287,8102,2758,2413,2793,144,138,150,141,135,146,8,8.5,2.6,1.93,19420,33,28481,88,10,183,750,1363,1591,1214,40,60
"""360910610006""",1,534,431,70.19,22,24,24,5,6,6,17,18,18,4.62,28.37,1.39,1,1,15816,13782,15985,6,5,6,10424,8878,9885,7937,6711,7368,2444,2129,2470,42,38,48,41,37,47,9.3,7.1,12.79,6.14,10821,3,18692,88,6,319,656,265,NA,265,3,97
"""360910610004""",1,780,374,46.43,50,58,56,31,38,35,19,20,21,7.17,57.72,1.57,1,2,17984,15861,18179,4,3,5,11786,10030,11277,8977,7553,8434,2779,2450,2808,30,27,35,29,26,34,8.1,7.1,11.47,8.05,10940,45,18531,88,3,538,469,1587,2475,871,45,55
"""360010020003""",1,731,373,34.03,31,36,35,15,19,17,16,17,18,5.92,64.86,1.31,1,1,15450,13471,15654,8,8,9,9964,8321,9535,7452,6121,6984,2388,2081,2418,124,118,133,121,115,129,8.9,9.8,10.49,10.96,23415,20,47377,87,4,489,525,781,1010,675,32,68
"""360910613031""",1,2019,0,279.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,0.01,0,NA,NA,NA,NA,NA,93,920,NA,NA,NA,NA,NA
"""360010018011""",1,691,315,76.17,58,69,66,38,48,44,20,21,22,7.83,32.39,1.62,1,2,18936,16701,19221,7,7,7,12259,10365,11841,9224,7684,8760,2926,2580,2969,108,102,111,105,99,109,4,9.8,3.82,4.14,27015,95,54528,88,10,227,963,1984,1984,NA,83,17
"""360930329012""",1,1193,450,325.85,51,60,58,27,34,32,24,26,26,10.42,14.39,1.94,2,2,23380,20484,23776,0,0,0,14718,12754,14183,11101,9590,10508,3613,3164,3673,3,0,2,3,0,2,2.2,6.5,2.33,1.38,13854,88,14772,87,23,79,1262,1423,1469,737,94,6
"""360010019011""",1,499,211,66.5,48,56,54,28,35,32,20,21,22,7.99,25.37,1.64,1,2,19033,16661,19359,5,5,6,12391,10465,11988,9369,7817,8914,2941,2574,2991,80,74,83,78,72,81,3.9,9.9,5.85,3.17,30019,87,57071,88,13,183,943,1433,1473,1175,87,13
"""360010020004""",1,993,360,46.9,40,47,46,23,29,27,17,18,19,7.76,59.57,1.38,1,1,16602,14460,16856,8,7,8,10560,8835,10148,7877,6490,7420,2566,2234,2604,117,111,124,114,108,121,8.2,9.8,8.4,7.68,24650,34,49116,87,5,328,564,1202,1586,831,49,51
"""360010017002""",1,1476,587,69.08,44,51,50,27,34,31,16,17,18,7.4,62.86,1.36,1,1,15479,13520,15682,8,8,9,10255,8583,9841,7740,6378,7285,2392,2089,2423,123,116,132,120,113,129,8.4,9.8,8.96,8.5,30504,34,57793,88,5,287,580,1412,1729,1191,41,59
"""360010023001""",1,963,426,35.91,29,32,32,14,17,16,15,16,17,5.22,61.9,1.21,1,1,14426,12369,14646,10,10,11,9309,7729,8896,6925,5676,6468,2229,1911,2263,154,142,165,150,139,161,9.1,9.9,17.44,11.86,26309,9,72997,88,5,463,733,704,NA,704,25,75
"""360010002003""",1,1216,387,53.61,32,37,36,17,21,20,15,16,17,6.02,43.42,1.21,1,1,14253,12195,14486,13,12,14,9320,7759,8938,6919,5694,6485,2203,1884,2238,199,181,215,194,177,210,9.1,9.8,13.09,7.22,27240,6,72303,89,5,310,665,879,1210,732,31,69
"""360010019013""",1,1254,546,91.82,51,59,58,32,40,37,19,20,21,7.52,44.72,1.54,1,2,18357,15996,18682,7,6,7,11755,9871,11365,8819,7307,8375,2837,2471,2886,100,93,104,97,91,102,5.8,9.8,6.29,5.95,27928,66,51926,87,7,258,764,1646,1759,1211,79,21
"""360910625093""",1,67,29,316.45,NA,NA,NA,NA,NA,NA,26,29,29,7.95,0.73,2.16,2,2,24985,22037,25399,0,0,0,16218,14208,15626,12356,10803,11703,3861,3404,3924,0,0,0,0,0,0,0.5,5.1,0.11,0.09,8291,100,11518,87,53,18,2372,NA,NA,NA,100,0
