blkgrp,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""360010008001""",1.00,387.00,131.00,21.49,32,39,37,18,22,20,15,17,16,4.33,26.37,1.13,1,1,14876,14592,14938,20,20,20,9012,8410,8668,5276,4737,4915,3375,3309,3388,361,364,366,271,274,275,9.3,9.8,14.22,6.10,29553,4,89627,76,2,596,398,901,,901,8,92
"""360010008002""",1.00,1203.00,469.00,32.21,28,34,32,14,17,16,15,17,17,4.47,65.12,1.15,1,1,15004,14720,15067,18,19,19,9101,8496,8754,5358,4815,4993,3404,3338,3417,339,342,344,255,257,259,9.3,9.8,24.29,14.56,29699,11,90430,76,4,417,527,690,,690,12,88
"""360010008003""",1.00,596.00,235.00,31.40,31,37,35,16,20,18,15,17,17,4.56,34.09,1.16,1,1,15072,14788,15135,18,18,18,9164,8556,8814,5413,4868,5045,3419,3354,3432,332,335,337,249,252,253,9.2,9.8,12.00,7.48,30315,5,91372,76,4,367,634,814,,814,18,82
"""360010014001""",1.00,1528.00,1014.00,44.67,31,38,35,17,21,20,14,16,16,5.17,117.41,1.09,1,1,13745,13461,13808,21,22,22,8626,8033,8291,5113,4582,4759,3118,3053,3131,395,398,400,297,299,301,9.4,9.8,30.21,22.70,28662,4,88023,76,4,358,597,871,,871,10,90
"""360010011001""",1.00,1249.00,674.00,430.96,24,29,27,9,11,10,15,18,17,2.55,3.99,1.19,1,1,15485,15201,15547,19,20,20,9456,8840,9098,5583,5030,5207,3513,3447,3526,360,363,365,271,273,274,8.9,9.8,61.56,1.56,25271,3,81267,75,3,462,503,436,739,408,8,92
"""360010014002""",1.00,1251.00,910.00,26.95,33,40,37,19,23,22,14,16,16,3.97,133.99,1.06,1,1,14208,13924,14271,22,22,22,8575,7989,8247,4951,4427,4605,3223,3158,3236,401,404,406,301,304,305,9.5,9.8,38.02,33.77,29819,0,89531,76,4,475,579,957,1250,873,22,78
"""360010014003""",1.00,393.00,327.00,114.19,27,33,31,12,15,14,15,18,17,2.78,7.95,1.17,1,1,15230,14947,15293,19,19,19,9256,8646,8904,5455,4908,5085,3455,3389,3468,346,349,351,260,262,263,9.1,9.8,25.82,2.86,31435,0,90508,76,4,381,630,625,,625,0,100
"""360010015002""",1.00,1144.00,416.00,27.87,32,39,36,17,21,19,16,18,17,7.56,112.89,1.21,1,1,15671,15387,15734,16,16,16,9524,8904,9162,5674,5116,5294,3555,3489,3568,296,298,300,222,224,226,9.2,9.8,19.34,14.93,31947,17,73275,75,5,276,634,844,,844,10,90
"""360010015003""",1.00,1042.00,437.00,32.03,37,44,42,21,26,24,16,18,18,5.21,71.13,1.24,1,1,15893,15610,15956,15,15,15,9666,9040,9298,5791,5228,5405,3606,3540,3618,270,272,275,202,205,206,9.1,9.8,14.70,13.64,32058,18,71800,75,5,240,658,1063,1583,962,16,84
"""360010015004""",1.00,842.00,339.00,42.22,40,49,46,24,30,28,16,19,18,7.92,63.59,1.25,1,1,16188,15904,16251,16,16,16,9793,9166,9424,5822,5258,5435,3672,3607,3685,298,301,303,224,226,228,9.0,9.8,9.00,8.03,31536,19,68041,75,5,334,578,1227,1375,1161,31,69
