"GEOID","city","zip","housing.cost","household.co2","housing.units.per.acre","pct.owner.occupied","hi.wage.workers.home","jobs.per.household","jobs.within.45.drive","weighted.jobs.within.45.drive"
"360010016003","Albany city, NY","12208",1522,7.87,7.45,0.58,117,0.254386,84434.7028,42586.0718302009
"360010016004","Albany city, NY","12208",1331,7.62,8.11,0.49,147,0.543379,83312.8694,61413.4531411878
"360010017001","Albany city, NY","12203",1358,7.06,8.47,0.41,172,0.860417,89253.8573,82790.6868168373
"360010017001","Albany city, NY","12208",1358,7.06,8.47,0.41,172,0.860417,89253.8573,82790.6868168373
"360010017002","Albany city, NY","12208",1457,8.82,8.96,0.36,270,0.007952,88365.0259,7879.8616919303
"360010017003","Albany city, NY","12208",1269,7.66,7.91,0.31,275,7.343234,83184.2982,225416.156659639
"360010017004","Albany city, NY","12208",1532,7.99,3.83,0.63,94,0.187234,82628.1723,35753.659860986
"360010018011","Albany city, NY","12203",1683,8.27,3.82,0.7,134,0.017668,89841.1783,11941.7818829644
"360010018012","Albany city, NY","12203",1513,7.85,5.13,0.69,323,0.019481,79000.5985,11026.4574179009
"360010018012","Albany city, NY","12208",1513,7.85,5.13,0.69,323,0.019481,79000.5985,11026.4574179009
"360010018013","Albany city, NY","12208",1398,7.84,4.8,0.7,476,2.165447,78214.964,115096.900668519
"360010018013","Albany city, NY","12209",1398,7.84,4.8,0.7,476,2.165447,78214.964,115096.900668519
"360010018014","Albany city, NY","12208",1538,8.44,3.96,0.77,244,0.206818,80610.6193,36659.490494272
"360010018015","Albany city, NY","12208",1581,8.16,2.15,0.67,465,0.429907,65383.6438,42870.2857464415
"360010018015","Albany city, NY","12209",1581,8.16,2.15,0.67,465,0.429907,65383.6438,42870.2857464415
"360010018021","Albany city, NY","12203",1319,7.49,5.3,0.69,131,0.148984,88433.7556,34134.0550159586
"360010018022","Albany city, NY","12203",1181,7.26,5.56,0.55,350,0.033376,81539.1722,14896.4725778881
"360010018022","Albany city, NY","12208",1181,7.26,5.56,0.55,350,0.033376,81539.1722,14896.4725778881
"360010018023","Albany city, NY","12203",1511,8.97,5.59,0.8,129,0.024221,82823.9071,12889.9653143141
"360010018024","Albany city, NY","12203",1206,6.68,7.32,0.69,155,0.37013,86514.8494,52634.1725324186
"360010019011","Albany city, NY","12208",1627,9.35,5.85,0.86,117,0.52439,82588.1856,59806.0508413914
"360010019012","Albany city, NY","12208",1432,7.22,6.9,0.5,178,0.094972,81957.4365,25257.2555155496
"360010019013","Albany city, NY","12208",1749,8.58,6.29,0.85,387,0.058824,81229.7532,19701.1877681873
"360010019021","Albany city, NY","12209",1669,9.19,5.46,0.92,187,0.006289,77711.2482,6162.75186834484
"360010019022","Albany city, NY","12209",1542,8.26,5.06,0.87,215,0.092697,76693.0036,23350.0914777624
"360010019023","Albany city, NY","12209",1574,8.2,3.81,0.99,349,0.02407,74424.9366,11546.6637386342
"360010020001","Albany city, NY","12209",1366,7.65,8.26,0.49,207,0.363363,83585.2747,50384.8680267208
"360010020002","Albany city, NY","12209",1114,8.57,13.55,0.53,123,0.150246,81738.6411,31683.1878741962
"360010020003","Albany city, NY","12209",1027,7.12,10.49,0.31,96,0.086207,82150.0912,24120.1117658625
"360010020004","Albany city, NY","12209",1074,7.97,8.4,0.37,182,0.244898,78872.9403,39031.9860932213
"360010020005","Albany city, NY","12209",1176,8.21,7.79,0.57,282,0.393241,81097.5098,50855.3812875608
"360010021001","Albany city, NY","12208",865,5.59,23.83,0.03,99,0.148649,98470.3481,37965.2679309215
"360010021002","Albany city, NY","12208",1107,6.04,3.81,0.42,102,20.459144,84411.1721,381806.801201861
"360010021002","Albany city, NY","12203",1107,6.04,3.81,0.42,102,20.459144,84411.1721,381806.801201861
"360010021002","Albany city, NY","12202",1107,6.04,3.81,0.42,102,20.459144,84411.1721,381806.801201861
"360010021002","Albany city, NY","12209",1107,6.04,3.81,0.42,102,20.459144,84411.1721,381806.801201861
"360010021003","Albany city, NY","12208",870,5.71,18.78,0.2,191,23.850746,91917.6608,448900.353306233
"360010022001","Albany city, NY","12210",927,4.35,26.63,0.3,213,0.186541,98939.289,42732.2672065113
"360010022001","Albany city, NY","12202",927,4.35,26.63,0.3,213,0.186541,98939.289,42732.2672065113
"360010022002","Albany city, NY","12210",855,5.14,21.14,0.3,139,0.406551,94690.4233,60375.8940447555
"360010022002","Albany city, NY","12202",855,5.14,21.14,0.3,139,0.406551,94690.4233,60375.8940447555
"360010023001","Albany city, NY","12202",739,3.94,17.44,0.26,90,0.109409,91011.3413,30103.8498535624
