"GEOID","population","households","acreage","pct.housing.transpo.typical.income.household","pct.housing.typical.income","housing.cost","pct.transpo.typical.income.household","household.co2","autos.typical.income.household","typical.income.household.mileage","pct.transit.commuters.typical.income.household","typical.income.household.transpo.cost","typical.income.household.auto.ownership.cost","typical.income.household.mileage.cost","typical.income.household.transit.trips","overall.employment.index","employment.mix.index","housing.units.per.acre","walkable.index","gross.household.density","median.monthly.homeowner.cost","median.monthly.rent","pct.single.fam","pct.owner.occupied","pct.renter.occupied","cbsa.total.employ","cbsa.total.workers","pct.working.age","zero.auto","one.auto","two.plus.auto","num.workers.home","low.wage.home","med.wage.home","hi.wage.home","total.employ","retail.jobs","office.jobs","industrial.jobs","service.jobs","entertainment.jobs","education.jobs","healthcare.jobs","public.admin.jobs","job.type.mix","low.wage.work","med.wage.work","hi.wage.work","jobs.per.household","pct.bg.employ.near.transit","jobs.within.45.drive","workers.within.45.drive"
"360010130001",919,363,125.18,0.49,0.27,1379,0.23,9.89,1.89,22555,0.01,14270,10766,3486,17,6.4,86,3.03,2.7,2.9,1379,964,1,0.96,0.04,412385,395114,0.85679,19,114,229,446,96,144,206,11,8,0,3,0,0,0,0,0,0,0,2,9,0.031073,0,60107.8519,90041.5878
"360010130003",1126,509,70.94,0.42,0.24,1240,0.18,7.59,1.52,17533,0.06,11488,8694,2710,83,7.4,87,8.75,8.5,7.18,1674,945,0.22,0.4,0.6,412385,395114,0.79497,74,191,214,585,134,175,276,8,1,0,3,0,2,0,2,0,0,4,2,2,0.017897,0,66788.7256,100784.6375
"360010133001",684,354,55.93,0.38,0.19,993,0.19,7.26,1.56,17461,0.03,11627,8889,2699,38,8.4,88,7.69,8.2,6.33,1125,897,0.44,0.42,0.58,412385,395114,0.85,10,144,119,236,61,106,69,101,9,4,63,17,3,0,5,0,0.664659,47,27,27,0.397638,0,74538.5741,105969.268
"360010133003",2020,820,176.13,0.38,0.21,1089,0.17,7.31,1.44,16309,0.07,10862,8238,2521,101,8.3,88,17.7,8.9,4.66,1392,950,0.15,0.31,0.69,412385,395114,0.81288,106,679,345,831,234,299,298,837,48,25,271,8,63,328,8,86,0.730212,185,157,495,0.827075,0,75803.8273,107749.7366
"360930319001",2549,724,803.69,0.6,0.37,1943,0.23,11.28,1.89,22740,0.02,14337,10792,3514,30,7.6,86,1.28,2.2,0.9,1968,1586,0.87,0.93,0.07,412385,395114,0.74818,0,189,576,730,152,167,411,162,3,10,6,72,0,54,17,0,0.742868,54,45,63,0.222222,0,63567.7409,88622.5522
"360010138013",727,257,286.31,0.4,0.2,1039,0.2,9.28,1.65,19718,0.04,12511,9403,3047,60,8.3,88,2.02,6.2,0.9,1145,1039,0.52,0.52,0.48,412385,395114,0.78414,15,100,133,304,84,97,123,502,206,65,130,98,2,0,0,1,0.744185,106,186,210,2.082988,0,73046.6974,91768.1427
"360010140012",651,313,275.44,0.57,0.36,1890,0.21,8.34,1.73,20504,0.03,13087,9876,3169,41,9.5,89,2.57,3.6,1.14,1849,1890,0.98,0.75,0.25,412385,395114,0.79325,27,154,136,294,81,95,118,1930,319,21,789,706,38,8,45,4,0.615928,520,692,718,6.327869,0,90261.1374,106684.9831
"360930323003",956,360,75.46,0.46,0.25,1296,0.22,8.9,1.78,20841,0.02,13395,10142,3221,31,6.8,87,6.02,4.7,4.77,1373,894,0.87,0.84,0.16,412385,395114,0.75078,69,55,258,491,136,180,175,8,0,0,1,7,0,0,0,0,0,5,1,2,0.021277,0,43049.2483,71650.0684
"360010002002",553,311,51.06,0.26,0.11,569,0.15,5.21,1.22,14820,0.15,9497,6990,2290,212,9.8,89,15.38,9,6.09,1112,569,0,0.38,0.62,412385,395114,0.71341,41,342,168,302,108,138,56,96,0,1,0,18,2,64,11,0,0.596864,19,19,58,0.218679,0,96246.1083,110361.3991
"360010145021",854,283,8775.78,0.61,0.35,1821,0.26,12.17,2.19,25430,0,16428,12497,3930,0,6,83,0.08,0.2,0.03,1821,898,0.92,0.94,0.06,412385,395114,0.77502,0,124,270,430,104,126,200,114,2,0,36,5,38,32,1,0,0.745884,36,45,33,0.300792,0,40019.7334,56469.249
